vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Dodge Journey R/T,2016,"140,218 ","12,997",Automatic,Gasoline , All-wheel Drive , Billet Silver Metallic Clearcoat , 3C4PDDEG2GT227364 ,,3.6L V6 24V MPFI DOHC
Jeep Patriot Sport,2016,"100,663 ","13,352",Automatic,Gasoline , Front-wheel Drive , Black Clearcoat , 1C4NJPBA4GD769220 ,,2.0L I4 16V MPFI DOHC
Nissan Juke S,2016,"94,671 ","13,491",Automatic CVT,Gasoline , AWD , Pearl White , JN8AF5MV8GT654361 ,,1.6L I4 16V GDI DOHC Turbo
Nissan Rogue S,2016,"119,916 ","13,499",Automatic CVT,Gasoline , Front-wheel Drive , Glacier White , 5N1AT2MT6GC743651 ,,2.5L I4 16V MPFI DOHC
FIAT 500X Trekking,2016,"47,950 ","14,151",9-Speed Automatic,Gasoline , Front-wheel Drive , Red Tri-Coat , ZFBCFXCT1GP357329 ,,2.4L I4 16V MPFI SOHC
Nissan Rogue S,2016,"125,582 ","14,441",Automatic CVT,Gasoline , Front-wheel Drive , Magnetic Black , KNMAT2MT9GP602828 ,,2.5L I4 16V MPFI DOHC
Jeep Patriot Sport,2016,"64,283 ","14,891",6-Speed Automatic,Gasoline , Front-wheel Drive , Maximum Steel Metallic , 1C4NJPBB9GD575890 ,,2.4L I4 16V MPFI DOHC
Nissan Juke S,2017,"102,270 ","14,998",Automatic CVT,Gasoline , Front-wheel Drive , Silver , JN8AF5MR5HT703746 ,,1.6L I4 16V GDI DOHC Turbo
Jeep Patriot Sport,2016,"91,534 ","14,999",Automatic,Gasoline , Front-wheel Drive , Black , 1C4NJPBA2GD525968 ,,2.0L I4 16V MPFI DOHC
Jeep Patriot Sport,2016,"97,441 ","14,999",Variable,Gasoline , Front-wheel Drive , Black Clearcoat , 1C4NJPBA6GD743217 ,,Regular Unleaded I-4 2.0 L/122
Mitsubishi Eclipse Cross ES,2019,"90,682 ","15,499",Variable,Gasoline , Four-wheel Drive , Red Diamond , JA4AT3AA8KZ037973 ,,Intercooled Turbo Regular Unleaded I-4 1.5 L/91
Buick Encore Base,2016,"47,588 ","15,500",6-Speed Automatic,Gasoline , Front-wheel Drive , Summit White , KL4CJASB8GB544446 ,,1.4L I4 16V MPFI DOHC Turbo
Hyundai Tucson Eco,2017,"101,202 ","15,727",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Sedona Sunset , KM8J33A21HU371391 ,,1.6L I4 16V GDI DOHC Turbo
Chevrolet Equinox LS,2018,"113,791 ","15,800",6-Speed Automatic,Gasoline , All-wheel Drive , Storm Blue Metallic , 3GNAXREV8JS604521 ,,1.5L I4 16V GDI DOHC Turbo
Jeep Renegade Sport,2016,"61,988 ","15,855",6-Speed Manual,Gasoline , Front-wheel Drive , Granite Crystal Clearcoat Metallic , ZACCJAAW8GPC77163 ,,1.4L I4 16V MPFI SOHC Turbo
Chevrolet Trax LT,2018,"46,301 ","15,900",6-Speed Automatic,Gasoline , Front-wheel Drive , Brown , 3GNCJLSB5JL317830 ,,1.4L I4 16V MPFI DOHC Turbo
Nissan Rogue S,2016,"131,709 ","15,988",Automatic CVT,Gasoline , Front-wheel Drive , Brilliant Silver , KNMAT2MT2GP692355 ,,2.5L I4 16V MPFI DOHC
Chevrolet Trax LT,2017,"88,944 ","15,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Silver Ice Metallic , 3GNCJLSB0HL135043 ,,1.4L I4 16V MPFI DOHC Turbo
Nissan Rogue S,2016,"85,943 ","15,999",Variable,Gasoline , All-wheel Drive , Arctic Blue Metallic , JN8AT2MV0GW135567 ,,Regular Unleaded I-4 2.5 L/152
Nissan Juke S,2017,"78,529 ","15,999",Automatic Xtronic CVT,Gasoline , Front-wheel Drive , Black , JN8AF5MRXHT703595 , –,1.6L I4 16V GDI DOHC Turbo
Dodge Journey SE,2016,"90,864 ","15,999",Automatic,Gasoline , All-wheel Drive , White , 3C4PDDAG1GT242329 ,,Regular Unleaded V-6 3.6 L/220
Ford Edge SEL,2016,"99,667 ","16,340",6-Speed Automatic,Gasoline , Front-wheel Drive , Ingot Silver Metallic , 2FMPK3J9XGBC25330 ,,2.0L I4 16V GDI DOHC Turbo
Mitsubishi Outlander Sport ES,2016,"61,171 ","16,499",Variable,Gasoline , Four-wheel Drive , Rally Red Metallic , JA4AR3AW6GZ055910 ,,Regular Unleaded I-4 2.4 L/144
Nissan Rogue SV,2017,"101,180 ","16,499",Variable,Gasoline , All-wheel Drive , Gun Metallic , KNMAT2MV5HP578675 ,,Regular Unleaded I-4 2.5 L/152
FIAT 500X Trekking,2016,"41,742 ","16,499",Automatic,Gasoline , Front-wheel Drive , Bronzo Magnetico Opaco (Matte Bronze) , ZFBCFXCT1GP374275 ,,Regular Unleaded I-4 2.4 L/144
Kia Sportage LX,2016,"89,404 ","16,500",6-Speed Automatic,Gasoline , All-wheel Drive , Bright Silver , KNDPBCAC6G7826176 ,,2.4L I4 16V GDI DOHC
Nissan Juke SV,2016,"64,545 ","16,792",Automatic CVT,Gasoline , All-wheel Drive , Pearl White , JN8AF5MV9GT656152 ,,1.6L I4 16V GDI DOHC Turbo
Honda HR-V EX,2016,"104,509 ","16,820",Automatic CVT,Gasoline , Front-wheel Drive , Mulberry Metallic , 3CZRU5H50GM747978 ,,1.8L I4 16V MPFI SOHC
Jeep Cherokee Latitude,2016,"67,421 ","16,900",9-Speed Automatic,Gasoline , Front-wheel Drive , White , 1C4PJLCB8GW165182 ,,2.4L I4 16V MPFI SOHC
Nissan Rogue S,2017,"82,365 ","16,940",Automatic CVT,Gasoline , Front-wheel Drive , Magnetic Black , JN8AT2MT9HW137852 ,,2.5L I4 16V MPFI DOHC
Jeep Compass Latitude,2016,"83,839 ","16,981",6-Speed Automatic,Gasoline , Front-wheel Drive , Billet Silver Metallic Clearcoat , 1C4NJCEB4GD664674 ,,2.4L I4 16V MPFI DOHC
Jeep Cherokee Sport,2017,"85,211 ","16,995",9-Speed Automatic,Gasoline , Front-wheel Drive , Bright White Clearcoat , 1C4PJLAB4HW534981 ,,2.4L I4 16V MPFI SOHC
Jeep Patriot Sport,2016,"53,345 ","16,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue , 1C4NJPBA0GD760644 ,,2.0L I4 16V MPFI DOHC
Kia Sportage LX,2018,"88,042 ","16,999",Automatic,Gasoline , Front-wheel Drive , Mineral Silver , KNDPM3AC3J7332553 ,,Regular Unleaded I-4 2.4 L/144
Kia Sportage LX,2018,"78,091 ","16,999",Automatic,Gasoline , Front-wheel Drive , Mineral Silver , KNDPM3ACXJ7470946 ,,Regular Unleaded I-4 2.4 L/144
Chevrolet Equinox 1LT,2016,"69,274 ","16,999",Automatic,Gasoline , Front-wheel Drive , Mosaic Black Metallic , 2GNALCEK1G1125943 ,,Gas I4 2.4/145
Chevrolet Equinox LS,2016,"79,464 ","16,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , 2GNALBEK6G1153831 ,,2.4L I4 16V GDI DOHC
Nissan Rogue S,2017,"123,233 ","16,999",Automatic CVT,Gasoline , Front-wheel Drive , Gun Metallic , 5N1AT2MT6HC739293 ,,2.5L I4 16V MPFI DOHC
Jeep Cherokee Latitude,2016,"84,940 ","16,999",Automatic,Gasoline , Four-wheel Drive , Brilliant Black Crystal Pearlcoat , 1C4PJMCBXGW343082 ,,Regular Unleaded I-4 2.4 L/144
Jeep Patriot Sport,2016,"73,392 ","17,250",Automatic CVT,Gasoline , Front-wheel Drive , Black Clearcoat , 1C4NJPBA7GD503495 ,,2.0L I4 16V MPFI DOHC
Jeep Cherokee Sport,2016,"78,557 ","17,400",9-Speed Automatic,Gasoline , Front-wheel Drive , Deep Cherry Red Crystal Pearlcoat , 1C4PJLAB8GW208146 ,,2.4L I4 16V MPFI SOHC
MINI Countryman Cooper,2016,"76,253 ","17,450",6-Speed Automatic,Gasoline , Front-wheel Drive , Black Metallic , WMWZB3C54GWR49940 ,,1.6L I4 16V MPFI DOHC
Ford Escape S,2018,"38,025 ","17,499",Automatic,Gasoline , Front-wheel Drive , Shadow Black , 1FMCU0F7XJUA30523 ,,Regular Unleaded I-4 2.5 L/152
Ford EcoSport SE,2018,"68,843 ","17,499",Automatic,Gasoline , Front-wheel Drive , Ruby Red Metallic Tinted Clearcoat , MAJ3P1TE8JC187662 ,,Intercooled Turbo Regular Unleaded I-3 1.0 L/61
Hyundai Tucson Eco,2017,"74,474 ","17,499",Automatic,Gasoline , Front-wheel Drive , Dazzling White , KM8J33A26HU396450 ,,Intercooled Turbo Regular Unleaded I-4 1.6 L/97
Dodge Journey SE,2018,"95,563 ","17,499",Automatic,Gasoline , Front-wheel Drive , Vice White , 3C4PDCAB7JT242003 ,,Regular Unleaded I-4 2.4 L/144
Jeep Renegade Limited,2017,"69,252 ","17,500",9-Speed Automatic,E85 Flex Fuel , Front-wheel Drive , Black , ZACCJADB0HPF08518 ,,2.4L I4 16V MPFI SOHC Flexible Fuel
Jeep Compass Latitude,2016,"75,916 ","17,500",Automatic,Gasoline , Four-wheel Drive , Granite Crystal Clearcoat Metallic , 1C4NJDEB0GD758153 ,,2.4L I4 16V MPFI DOHC
Ford Escape SE,2017,"79,168 ","17,591",6-Speed Automatic,Gasoline , Front-wheel Drive , Magnetic , 1FMCU0GD2HUC80725 ,,1.5L I4 16V GDI DOHC Turbo
Kia Sorento LX,2019,"137,101 ","17,788",6-Speed Automatic,Gasoline , All-wheel Drive , White , 5XYPGDA39KG548750 ,,2.4L I4 16V GDI DOHC
Buick Encore Base,2016,"50,199 ","17,797",6-Speed Automatic,Gasoline , Front-wheel Drive , White Pearl Tri-Coat , KL4CJASB6GB609908 ,,1.4L I4 16V MPFI DOHC Turbo
FIAT 500X Trekking Plus,2016,"23,415 ","17,800",9-Speed Automatic,Gasoline , All-wheel Drive , – , ZFBCFYETXGP514178 ,,2.4L I4 16V MPFI SOHC
Mitsubishi Outlander Sport ES 2.0,2017,"81,430 ","17,800",Automatic CVT,Gasoline , Front-wheel Drive , Labrador Black Pearl , JA4AP3AU3HZ069480 , –,2.0L I4 16V MPFI DOHC
Jeep Compass Latitude,2016,"57,647 ","17,893",Automatic,Gasoline , Four-wheel Drive , Silver , 1C4NJDEB3GD631249 ,,2.4L I4 16V MPFI DOHC
Buick Encore Preferred,2018,"42,189 ","17,897",6-Speed Automatic,Gasoline , Front-wheel Drive , Graphite Gray Metallic , KL4CJASB5JB573698 ,,1.4L I4 16V MPFI DOHC Turbo
Nissan Rogue SV,2019,"80,407 ","17,987",Automatic CVT,Gasoline , Front-wheel Drive , Caspian Blue Metallic , KNMAT2MT5KP513749 ,,2.5L I4 16V MPFI DOHC
FIAT 500X Pop,2016,"20,342 ","17,990",9-Speed Automatic,Gasoline , Front-wheel Drive , Red , ZFBCFXAT2GP378273 ,,2.4L I4 16V MPFI SOHC
Jeep Renegade Limited,2017,"57,013 ","17,990",9-Speed Automatic,E85 Flex Fuel , Front-wheel Drive , Black , ZACCJADB0HPE72863 ,,2.4L I4 16V MPFI SOHC Flexible Fuel
Kia Niro FE,2017,"67,192 ","17,990",6-Speed Automatic with Auto-Shift,Hybrid , Front-wheel Drive , Blue , KNDCB3LC1H5049222 ,,1.6L I4 16V GDI DOHC Hybrid
Kia Sportage LX,2016,"59,993 ","17,990",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , KNDPB3AC1G7816669 ,,2.4L I4 16V GDI DOHC
Jeep Compass Sport,2017,"59,650 ","17,991",Manual,Gasoline , Front-wheel Drive , Diamond Black Crystal Pearlcoat , 3C4NJCAB3HT643459 ,,Regular Unleaded I-4 2.4 L/144
Ford Edge SEL,2016,"113,240 ","17,992",6-Speed Automatic,Gasoline , All-wheel Drive , Black , 2FMPK4J95GBC07596 ,,2.0L I4 16V GDI DOHC Turbo
Dodge Journey SE,2017,"61,253 ","17,995",4-Speed Automatic,Gasoline , Front-wheel Drive , Contusion Blue Pearlcoat , 3C4PDCAB9HT638802 ,,2.4L I4 16V MPFI DOHC
Subaru Outback 2.5i Premium,2016,"112,999 ","17,997",Automatic CVT,Gasoline , All-wheel Drive , Ice Silver Metallic , 4S4BSAFC8G3348000 ,,2.5L H4 16V MPFI DOHC
Hyundai Santa Fe Sport 2.4L,2017,"99,946 ","17,998",Automatic,Gasoline , All-wheel Drive , Frost White Pearl , 5NMZTDLB1HH002001 ,,4 Cylinder
FIAT 500X Easy,2016,"53,707 ","17,998",9-Speed Automatic,Gasoline , FWD , White , ZFBCFXBT3GP438611 ,,2.4L I4 16V MPFI SOHC
GMC Terrain SLE-1,2016,"61,228 ","17,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Onyx Black , 2GKALMEK0G6330613 ,,2.4L I4 16V GDI DOHC
MINI Countryman Cooper,2016,"66,548 ","17,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue , WMWZB3C57GWR48877 ,,1.6L I4 16V MPFI DOHC
FIAT 500X Easy,2016,"53,629 ","17,998",9-Speed Automatic,Gasoline , Front-wheel Drive , Brown , ZFBCFXBT6GP468458 ,,2.4L I4 16V MPFI SOHC
Ford Escape SE,2017,"83,849 ","17,998",6-Speed Automatic,Gasoline , Front-wheel Drive , White , 1FMCU0GD1HUC28597 ,,1.5L I4 16V GDI DOHC Turbo
Buick Encore Preferred,2018,"41,992 ","17,999",Automatic,Gasoline , Front-wheel Drive , Summit White , KL4CJASB7JB655657 ,,Turbocharged I4 1.4/83
Mazda CX-5 Touring,2016,"93,755 ","17,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue Reflex Mica , JM3KE2CY4G0724203 ,,2.5L I4 16V GDI DOHC
Subaru Outback 2.5i Premium,2016,"120,355 ","17,999",Automatic CVT,Gasoline , All-wheel Drive , White , 4S4BSACC4G3246150 ,,2.5L H4 16V MPFI DOHC
Jeep Compass Sport,2019,"85,547 ","17,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Sting Gray Clearcoat , 3C4NJCAB0KT615724 ,,2.4L I4 16V MPFI SOHC
Ford Explorer Base,2016,"160,751 ","17,999",6-Speed Automatic,Gasoline , 4WD , Gray , 1FM5K8B87GGA01712 ,,3.5L V6 24V MPFI DOHC
Mazda CX-3 Touring,2016,"54,064 ","17,999",Automatic,Gasoline , Front-wheel Drive , Soul Red Metallic , JM1DKDC7XG0137338 ,,Regular Unleaded I-4 2.0 L/122
Hyundai Tucson Limited,2016,"77,429 ","17,999",Automatic,Gasoline , Front-wheel Drive , Coliseum Grey , KM8J33A25GU176683 ,,Intercooled Turbo Regular Unleaded I-4 1.6 L/97
Ford Flex SEL,2017,"132,535 ","17,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Gray , 2FMGK5C83HBA05609 ,,3.5L V6 24V MPFI DOHC
Hyundai Santa Fe Sport 2.4L,2018,"69,477 ","17,999",Automatic,Gasoline , Front-wheel Drive , Sparkling Silver , 5XYZT3LB3JG560815 ,,Regular Unleaded I-4 2.4 L/144
Kia Sportage LX,2019,"75,607 ","17,999",Automatic,Gasoline , All-wheel Drive , Pacific Blue , KNDPMCAC9K7596202 ,,Regular Unleaded I-4 2.4 L/144
Chevrolet Equinox LTZ,2016,"99,270 ","17,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Gray , 2GNALDEK9G6215625 ,,2.4L I4 16V GDI DOHC
Kia Sorento LX,2016,"87,229 ","17,999",6-Speed Automatic,Gasoline , Front-wheel Drive , Gray , 5XYPG4A55GG167793 ,,3.3L V6 24V GDI DOHC
Volkswagen Tiguan S,2017,"63,679 ","17,999",Automatic,Gasoline , Front-wheel Drive , Blue , WVGAV7AX7HW503846 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/121
Chevrolet Trax LT,2018,"48,414 ","17,999",Automatic,Gasoline , Front-wheel Drive , Sandy Ridge Metallic , 3GNCJLSB5JL311378 ,,Turbocharged Gas 4-Cyl 1.4L/83
Jeep Renegade Latitude,2017,"45,706 ","17,999",Automatic,Gasoline , Front-wheel Drive , Alpine White , ZACCJABB8HPE79191 ,,Regular Unleaded I-4 2.4 L/144
Mitsubishi Outlander Sport SE 2.4,2018,"69,742 ","17,999",Variable,Gasoline , Four-wheel Drive , Alloy Silver Metallic , JA4AR3AW8JZ035780 ,,Regular Unleaded I-4 2.4 L/144
Mazda CX-3 Touring,2016,"68,197 ","18,300",6-Speed Automatic,Gasoline , All-wheel Drive , Meteor Gray Mica , JM1DKFC75G0127232 ,,2.0L I4 16V GDI DOHC
Jeep Cherokee Latitude,2016,"68,961 ","18,360",9-Speed Automatic,Gasoline , Front-wheel Drive , Brilliant Black Crystal Pearlcoat , 1C4PJLCB3GW125267 ,,2.4L I4 16V MPFI SOHC
Ford Edge SEL,2016,"81,326 ","18,400",6-Speed Automatic,Gasoline , Front-wheel Drive , Magnetic Metallic , 2FMPK3J94GBB89358 ,,2.0L I4 16V GDI DOHC Turbo
Buick Enclave Leather,2016,"92,768 ","18,498",6-Speed Automatic,Gasoline , All-wheel Drive , Summit White , 5GAKVBKD7GJ329239 ,,3.6L V6 24V GDI DOHC
Buick Encore Preferred,2017,"54,188 ","18,499",Automatic,Gasoline , All-wheel Drive , Graphite Gray Metallic , KL4CJESB2HB034246 ,,Turbocharged I4 1.4/83
Buick Encore Essence,2019,"66,002 ","18,499",Automatic,Gasoline , Front-wheel Drive , Quicksilver Metallic , KL4CJCSM8KB777314 ,,Turbocharged I4 1.4/83
Nissan Rogue S,2017,"89,760 ","18,499",Automatic CVT,Gasoline , Front-wheel Drive , Magnetic Black , KNMAT2MT7HP562041 ,,2.5L I4 16V MPFI DOHC
Chevrolet Equinox 1LT,2017,"52,283 ","18,499",Automatic,Gasoline , Front-wheel Drive , Nightfall Gray Metallic , 2GNALCEK4H6231162 ,,Gas I4 2.4/145
Hyundai Santa Fe Sport 2.4L,2018,"67,293 ","18,499",Automatic,Gasoline , Front-wheel Drive , Sparkling Silver , 5XYZT3LB0JG572663 ,,Regular Unleaded I-4 2.4 L/144
Nissan Juke SL,2016,"51,876 ","18,499",Variable,Gasoline , Front-wheel Drive , Gun Metallic , JN8AF5MR1GT600712 ,,Intercooled Turbo Premium Unleaded I-4 1.6 L/99
Hyundai Tucson Limited,2016,"84,703 ","18,499",Automatic,Gasoline , Front-wheel Drive , Caribbean Blue , KM8J33A21GU147391 ,,Intercooled Turbo Regular Unleaded I-4 1.6 L/97
Nissan Kicks S,2018,"28,855 ","18,499",Variable,Gasoline , Front-wheel Drive , Gun Metallic , 3N1CP5CU8JL531345 ,,Regular Unleaded I-4 1.6 L/98
Kia Sorento EX,2016,"74,369 ","18,500",6-Speed Automatic,Gasoline , All-wheel Drive , Titanium Silver , 5XYPHDA17GG027464 ,,2.0L I4 16V GDI DOHC Turbo
Ford EcoSport SE,2018,"23,456 ","18,546",6-Speed Automatic,Gasoline , Front-wheel Drive , Lightning Blue Metallic , MAJ3P1TEXJC163802 ,,1.0L I3 12V GDI DOHC Turbo
Kia Niro LX,2017,"91,711 ","18,590",6-Speed Automatic with Auto-Shift,Hybrid , Front-wheel Drive , Gray , KNDCB3LC0H5051513 ,,1.6L I4 16V GDI DOHC Hybrid
Chevrolet Equinox LS,2017,"63,680 ","18,590",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue , 2GNALBEK8H1544867 ,,2.4L I4 16V GDI DOHC
Mazda CX-5 Sport,2016,"82,620 ","18,681",6-Speed Automatic,Gasoline , Front-wheel Drive , Meteor Gray Mica , JM3KE2BY0G0668813 ,,2.5L I4 16V GDI DOHC
Acura MDX 3.5L,2016,"139,290 ","18,981",9-Speed Automatic,Gasoline , FWD , Silver , 5FRYD3H25GB003128 ,,3.5L V6 24V GDI SOHC
Hyundai Tucson SE,2016,"27,975 ","18,990",6-Speed Automatic,Gasoline , Front-wheel Drive , Caribbean Blue , KM8J23A48GU102579 ,,2.0L I4 16V GDI DOHC
Nissan Rogue Sport S,2017,"74,159 ","18,990",Automatic CVT,Gasoline , FWD , Gun Metallic , JN1BJ1CP3HW013583 ,,2.0L I4 16V GDI DOHC
Mitsubishi Outlander Sport 2.0 ES,2019,"60,331 ","18,991",Automatic CVT,Gasoline , Front-wheel Drive , Mercury Gray , JA4AP3AU0KU028616 , –,2.0L I4 16V MPFI DOHC
Jeep Grand Cherokee Laredo,2017,"127,138 ","18,995",8-Speed Automatic,Gasoline , Rear-wheel Drive , Billet Silver Metallic Clearcoat , 1C4RJEAG8HC780143 ,,3.6L V6 24V MPFI DOHC
Buick Encore Preferred II,2017,"60,428 ","18,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Graphite Gray Metallic , KL4CJBSB2HB254579 ,,1.4L I4 16V MPFI DOHC Turbo
Nissan Rogue Sport S,2018,"70,850 ","18,998",Automatic CVT,Gasoline , Front-wheel Drive , Gun Metallic , JN1BJ1CP1JW155887 ,,2.0L I4 16V GDI DOHC
Nissan Juke S,2017,"40,780 ","18,998",Automatic CVT,Gasoline , Front-wheel Drive , Black , JN8AF5MR5HT702807 ,,1.6L I4 16V GDI DOHC Turbo
Chevrolet Trax LS,2019,"53,831 ","18,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Gray , 3GNCJKSB9KL259085 ,,1.4L I4 16V MPFI DOHC Turbo
Ford Escape SE,2016,"74,202 ","18,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , 1FMCU0G90GUA32032 ,,2.0L I4 16V GDI DOHC Turbo
Chevrolet Equinox LS,2017,"67,273 ","18,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Silver , 2GNALBEK9H1525440 ,,2.4L I4 16V GDI DOHC
Nissan Pathfinder SV,2017,"86,820 ","18,999",Variable,Gasoline , Front-wheel Drive , Magnetic Black Metallic , 5N1DR2MN2HC651645 ,,Regular Unleaded V-6 3.5 L/213
Ford EcoSport SES,2018,"33,117 ","18,999",Automatic,Gasoline , Four-wheel Drive , Shadow Black , MAJ6P1CL2JC165653 ,,Regular Unleaded I-4 2.0 L/122
Chevrolet Trax LT,2019,"47,312 ","18,999",Automatic,Gasoline , Front-wheel Drive , Mosaic Black Metallic , 3GNCJLSB3KL153933 ,,Turbocharged Gas 4-Cyl 1.4L/83
Hyundai Kona SE,2019,"42,276 ","18,999",Automatic,Gasoline , Front-wheel Drive , Surf Blue , KM8K12AA5KU259504 ,,Regular Unleaded I-4 2.0 L/122
Chevrolet Trax LT,2019,"42,812 ","18,999",Automatic,Gasoline , Front-wheel Drive , Summit White , 3GNCJLSB7KL135242 ,,Turbocharged Gas 4-Cyl 1.4L/83
Jeep Renegade 75th Anniversary,2016,"49,812 ","18,999",9-Speed Automatic,Gasoline , Front-wheel Drive , Granite Crystal Clearcoat Metallic , ZACCJABT6GPE37416 ,,2.4L I4 16V MPFI SOHC
FIAT 500X Pop,2017,"36,230 ","18,999",Automatic,Gasoline , All-wheel Drive , Arancio (Orange) , ZFBCFYAB0HP545972 ,,Regular Unleaded I-4 2.4 L/144
Hyundai Tucson Limited,2016,"99,940 ","18,999",Automatic,Gasoline , Front-wheel Drive , Caribbean Blue , KM8J33A23GU151989 ,,Intercooled Turbo Regular Unleaded I-4 1.6 L/97
Chevrolet Trax LT,2018,"8,690 ","18,999",Automatic,Gasoline , Front-wheel Drive , Nightfall Gray Metallic , KL7CJLSBXJB584484 ,,Turbocharged Gas 4-Cyl 1.4L/83
Jeep Cherokee Sport,2017,"77,616 ","18,999",9-Speed Automatic,Gasoline , Front-wheel Drive , Black , 1C4PJLAB5HW507918 ,,2.4L I4 16V MPFI SOHC
Ford Edge SEL,2016,"34,544 ","19,100",6-Speed Automatic,Gasoline , Front-wheel Drive , Ingot Silver , 2FMPK3J96GBC53027 ,,2.0L I4 16V GDI DOHC Turbo
Mazda CX-5 Sport,2016,"50,227 ","19,200",6-Speed Manual,Gasoline , Front-wheel Drive , Sonic Silver Metalic , JM3KE2BE6G0608511 ,,2.0L I4 16V GDI DOHC
Jeep Renegade Limited,2016,"75,130 ","19,288",9-Speed Automatic,Gasoline , Four-wheel Drive , Black , ZACCJBDT1GPD37159 ,,2.4L I4 16V MPFI SOHC
GMC Acadia SLT-1,2016,"94,863 ","19,355",6-Speed Automatic,Gasoline , Front-wheel Drive , Ebony Twilight Metallic , 1GKKRRKDXGJ343880 ,,3.6L V6 24V GDI DOHC
Ford Escape SE,2017,"51,325 ","19,395",6-Speed Automatic,Gasoline , Front-wheel Drive , Shadow Black , 1FMCU0GD3HUE97877 ,,1.5L I4 16V GDI DOHC Turbo
Nissan Rogue S,2017,"85,783 ","19,495",Automatic CVT,Gasoline , Front-wheel Drive , Brilliant Silver , KNMAT2MT7HP598442 ,,2.5L I4 16V MPFI DOHC
Volkswagen Tiguan Limited,2017,"27,022 ","19,499",Automatic,Gasoline , All-wheel Drive , Reflex Silver Metallic , WVGBV7AX0HK047524 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/121
Chevrolet Equinox LTZ,2016,"58,649 ","19,499",Automatic,Gasoline , All-wheel Drive , Siren Red Tintcoat , 2GNFLGEK7G6357253 ,,Gas I4 2.4/145
Jeep Renegade Latitude,2018,"39,176 ","19,499",Automatic,Gasoline , Front-wheel Drive , Alpine White , ZACCJABB7JPJ64319 ,,Regular Unleaded I-4 2.4 L/144
Nissan Kicks SV,2019,"40,601 ","19,499",Variable,Gasoline , Front-wheel Drive , Gun Metallic , 3N1CP5CU8KL524865 ,,Regular Unleaded I-4 1.6 L/98
Chevrolet Equinox 1LT,2017,"59,370 ","19,499",Automatic,Gasoline , All-wheel Drive , Nightfall Gray Metallic , 2GNFLFEKXH6180080 ,,Gas I4 2.4/145
Jeep Renegade Sport,2017,"58,821 ","19,499",Automatic,Gasoline , Four-wheel Drive , Solar Yellow , ZACCJBAB4HPG47738 ,,Regular Unleaded I-4 2.4 L/144
Dodge Journey SXT,2017,"40,800 ","19,499",Automatic,Gasoline , Front-wheel Drive , Pitch Black Clearcoat , 3C4PDCBG4HT526807 ,,Regular Unleaded V-6 3.6 L/220
Mitsubishi Outlander Sport SE 2.4,2017,"22,164 ","19,499",Variable,Gasoline , Front-wheel Drive , Diamond White Pearl , JA4AP3AWXHZ040253 ,,Regular Unleaded I-4 2.4 L/144
Ford EcoSport SE,2018,"42,650 ","19,499",Automatic,Gasoline , Four-wheel Drive , Smoke , MAJ6P1UL1JC173242 ,,Regular Unleaded I-4 2.0 L/122
Chevrolet Equinox LS,2017,"45,110 ","19,499",Automatic,Gasoline , Front-wheel Drive , Nightfall Gray Metallic , 2GNALBEK8H1605313 ,,Gas I4 2.4/145
Honda HR-V LX,2016,"33,430 ","19,500",Automatic CVT,Gasoline , Front-wheel Drive , Misty Green , 3CZRU5H37GM742288 ,,1.8L I4 16V MPFI SOHC
Mazda CX-5 Sport,2016,"59,499 ","19,500",6-Speed Automatic,Gasoline , Front-wheel Drive , Meteor Gray Mica , JM3KE2BYXG0642137 ,,2.5L I4 16V GDI DOHC
Honda CR-V LX,2017,"112,501 ","19,500",Automatic CVT,Gasoline , Front-wheel Drive , Lunar Silver Metallic , 2HKRW5H37HH403070 ,,2.4L I4 16V GDI DOHC
Nissan Rogue S,2018,"85,947 ","19,500",Automatic CVT,Gasoline , All-wheel Drive , Brilliant Silver , KNMAT2MVXJP539442 ,,2.5L I4 16V MPFI DOHC
Ford Edge Titanium,2016,"99,528 ","19,575",6-Speed Automatic,Gasoline , All-wheel Drive , Shadow Black , 2FMPK4K9XGBB22333 ,,2.0L I4 16V GDI DOHC Turbo
Dodge Journey SE,2017,"30,327 ","19,590",4-Speed Automatic,Gasoline , Front-wheel Drive , Green , 3C4PDCAB8HT562196 ,,2.4L I4 16V MPFI DOHC
