vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Hyundai Azera Limited,2008,"63,580 ","10,772",5-Speed Automatic,Gasoline , Front-wheel Drive , Silver Frost Metallic , KMHFC46F78A263771 ,,3.8L V6 24V MPFI DOHC
Hyundai Sonata GLS,2008,"119,977 ","7,999",4-Speed Automatic,Gasoline , FWD , Blue , 5NPET46C98H373798 ,,2.4L I4 16V MPFI DOHC
Lexus LS 600h L,2008,"105,499 ","21,998",Automatic CVT,Hybrid , All-wheel Drive , Silver , JTHDU46F085007083 ,,5.0L V8 32V GDI DOHC Hybrid
Cadillac Escalade Base,2008,"137,891 ","14,000",6-Speed Automatic,Gasoline , All-wheel Drive , Black Raven , 1GYFK63898R158444 ,,6.2L V8 16V MPFI OHV
Lexus IS 250 Base (A6),2008,"128,843 ","12,988",6-Speed Automatic,Gasoline , Rear-wheel Drive , Glacier Frost Mica , JTHBK262885051119 ,,2.5L V6 24V GDI DOHC
Dodge Charger SE,2008,"107,302 ","7,150",Automatic,Gasoline , Rear-wheel Drive , Silver , 2B3LA43R98H213663 ,,2.7L V6 24V MPFI DOHC
Toyota Prius Touring,2008,"115,227 ","8,999",CVT,Hybrid , Front-wheel Drive , Black , JTDKB20U187765111 ,,4 Cylinder Engine
Toyota Highlander Hybrid Limited,2008,"136,021 ","17,988",Automatic CVT,Hybrid , All-wheel Drive , Waveline Pearl , JTEEW44A682001812 ,,3.3L V6 24V MPFI DOHC Hybrid
Toyota RAV4 Limited,2008,"161,171 ","9,249",5-Speed Automatic,Gasoline , 4WD , Silver , JTMBK31V686032507 ,,3.5L V6 24V MPFI DOHC
BMW M3,2008,"108,690 ","29,888",6-Speed Manual,Gasoline , Rear-wheel Drive , Black , WBSVA93528E041171 ,,4.0L V8 32V MPFI DOHC
Mercedes-Benz E-Class E 350,2008,"135,100 ","9,995",7-Speed Automatic,Gasoline , Rear-wheel Drive , Champagne , WDBUF56X38B248534 ,,3.5L V6 24V MPFI DOHC
Cadillac DTS 1SE,2008,"66,596 ","12,950",4-Speed Automatic,Gasoline , Front-wheel Drive , Crystal Red Tintcoat , 1G6KD57958U208011 ,,4.6L V8 32V MPFI DOHC
BMW 328 i,2008,"129,650 ","13,000",6-Speed Automatic,Gasoline , Rear-wheel Drive , Silver , WBAVA37578NL45107 ,,3.0L I6 24V MPFI DOHC
Honda CR-V EX-L,2008,"144,000 ","6,495",5-Speed Automatic,Gasoline , 4WD , Red , JHLRE48738C036165 ,,2.4L I4 16V MPFI DOHC
Mercedes-Benz GL-Class GL 450 4MATIC,2008,"129,909 ","9,995",7-Speed Automatic,Gasoline , All-wheel Drive , Beige , 4JGBF71E88A338760 ,,4.6L V8 32V MPFI DOHC
Toyota Avalon XLS,2008,"66,513 ","13,999",6-Speed Automatic,Gasoline , Front-wheel Drive , – , 4T1BK36B68U264739 ,,3.5L V6 24V MPFI DOHC
Audi Q7 3.6 Premium,2008,"163,700 ","8,498",6-Speed Automatic,Gasoline , All-wheel Drive , Black , WA1BY74L68D043769 ,,3.6L V6 24V GDI DOHC
Toyota Corolla CE,2008,"128,417 ","7,991",4-Speed Automatic,Gasoline , Front-wheel Drive , Silver , 1NXBR32E98Z956778 ,,1.8L I4 16V MPFI DOHC
Acura MDX Technology,2008,"78,927 ","14,950",5-Speed Automatic,Gasoline , All-wheel Drive , Silver , 2HNYD28338H516534 ,,3.7L V6 24V MPFI SOHC
Audi A6 4.2 quattro,2008,"127,075 ","9,200",6-Speed Automatic,Gasoline , All-wheel Drive , Gray , WAUDV74F68N031601 ,,4.2L V8 32V GDI DOHC
