Mercedes-Benz C-Class C 300,2019,"31,802 ","35,374",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , 55SWF8DB9KU309987 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz CLA 250 Base,2019,"39,477 ","36,750",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Polar White , WDDSJ4EB7KN766746 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz C-Class C 300,2019,"15,115 ","36,525",9-Speed Automatic,Gasoline , Rear-wheel Drive , Polar White , 55SWF8DB4KU297070 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2019,"32,672 ","42,955",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDZF4JB5KA581284 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz AMG C 43 Base 4MATIC,2018,"30,192 ","53,381",9-Speed Automatic,Gasoline , All-wheel Drive , Red , 55SWF6EB8JU269273 ,,3.0L V6 24V GDI DOHC Twin Turbo
Mercedes-Benz C-Class C 300,2019,"11,901 ","39,981",9-Speed Automatic,Gasoline , RWD , Gray Metallic , 55SWF8DB0KU292917 ,,2.0L I4 16V GDI DOHC Turbo
Toyota Mirai Base,2018,"21,422 ","15,991",1-Speed Automatic,Electric , Front-wheel Drive , Celestial Black , JTDBVRBD9JA004008 ,,Electric
Mercedes-Benz C-Class C 300,2018,"20,937 ","34,995",9-Speed Automatic,Gasoline , RWD , Gray Metallic , 55SWF4JB6JU281965 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Standard Range Plus,2019,"31,569 ","46,991",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EA1KF306926 ,,Electric
Mercedes-Benz E-Class E 300,2019,"28,256 ","45,989",9-Speed Automatic,Gasoline , Rear-wheel Drive , Iridium Silver Metallic , WDDZF4JBXKA533599 ,,2.0L I4 16V GDI DOHC Turbo
Dodge Charger R/T,2019,"16,773 ","36,850",8-Speed Automatic,Gasoline , Rear-wheel Drive , Pitch Black Clearcoat , 2C3CDXCT2KH681975 ,,5.7L V8 16V MPFI OHV
Mercedes-Benz C-Class C 300,2019,"11,408 ","35,999",9-Speed Automatic,Gasoline , Rear-wheel Drive , Blue , 55SWF8DB8KU286072 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz CLA 250 Base,2019,"13,168 ","34,999",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Black , WDDSJ4EB8KN743752 ,,2.0L I4 16V GDI DOHC Turbo
Toyota Camry SE,2020,"19,808 ","28,890",8-Speed Automatic,Gasoline , Front-wheel Drive , Galactic Aqua , 4T1G11AK9LU342332 ,,2.5L I4 16V PDI DOHC
Mercedes-Benz S-Class S 550,2016,"69,224 ","49,381",7-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDUG8CB1GA206883 ,,4.7L V8 32V GDI DOHC Twin Turbo
Toyota Corolla Hybrid LE,2021,"10,243 ","27,891",Automatic CVT,Hybrid , Front-wheel Drive , Red , JTDEAMDE2MJ019049 ,,1.8L I4 16V MPFI DOHC Hybrid
Mercedes-Benz C-Class C 300,2019,"11,600 ","38,999",9-Speed Automatic,Gasoline , Rear-wheel Drive , White , 55SWF8DB4KU292970 ,,2.0L I4 16V GDI DOHC Turbo
Honda Accord EX-L,2018,"25,381 ","31,491",Automatic CVT,Gasoline , Front-wheel Drive , Modern Steel Metallic , 1HGCV1F50JA046500 ,,1.5L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2018,"48,920 ","46,899",1-Speed Automatic,Electric , Rear-wheel Drive , Midnight Silver Metallic , 5YJ3E1EA0JF005949 ,,Electric
Mercedes-Benz C-Class C 300,2018,"36,153 ","32,250",9-Speed Automatic,Gasoline , Rear-wheel Drive , Gray Metallic , 55SWF4JB4JU261729 ,,2.0L I4 16V GDI DOHC Turbo
BMW 330e iPerformance,2018,"15,860 ","34,452",8-Speed Automatic,Hybrid , Rear-wheel Drive , Glacier Silver Metallic , WBA8E1C53JA765228 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Mercedes-Benz CLA 250 Base,2019,"17,149 ","36,388",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Lunar Blue Metallic , WDDSJ4EB8KN740818 ,,2.0L I4 16V GDI DOHC Turbo
BMW 530e iPerformance,2019,"17,410 ","41,552",8-Speed Automatic,Hybrid , Rear-wheel Drive , Glacier Silver Metallic , WBAJA9C52KB393713 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Tesla Model 3 Standard Range Plus,2019,"39,814 ","45,488",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EA2KF304814 ,,Electric
BMW 530e iPerformance,2019,"22,232 ","42,999",8-Speed Automatic,Hybrid , Rear-wheel Drive , Mineral White Metallic , WBAJA9C52KB254942 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Honda Accord EX-L,2018,"59,753 ","28,798",Automatic CVT,Gasoline , Front-wheel Drive , Gray , 1HGCV1F68JA020879 ,,1.5L I4 16V GDI DOHC Turbo
Toyota Corolla SE,2020,"12,715 ","29,995",6-Speed Manual,Gasoline , Front-wheel Drive , White , JTDM4RCE6LJ020365 ,,2.0L I4 16V PDI DOHC
Mercedes-Benz E-Class E 350,2021,"10,045 ","60,385",9-Speed Automatic,Gasoline , Rear-wheel Drive , Polar White , W1KZF8DB5MA916128 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Standard Range Plus,2019,"20,869 ","46,488",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EA8KF484655 ,,Electric
Honda Accord LX 1.5T,2020,"14,998 ","27,992",Automatic CVT,Gasoline , Front-wheel Drive , Platinum White Pearl , 1HGCV1F16LA101015 ,,1.5L I4 16V GDI DOHC Turbo
Kia Stinger GT2,2021,"11,809 ","49,590",8-Speed Automatic,Gasoline , Rear-wheel Drive , Gray , KNAE55LCXM6097184 ,,3.3L V6 24V GDI DOHC Twin Turbo
Mercedes-Benz CLA 250 Base,2019,"22,029 ","38,725",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Polar Silver Metallic , WDDSJ4EB1KN703125 ,,2.0L I4 16V GDI DOHC Turbo
Honda Clarity Plug-In Hybrid Touring,2018,"29,953 ","30,444",Automatic CVT,Hybrid , Front-wheel Drive , Crystal Black Pearl , JHMZC5F33JC011800 , –,1.5L I4 16V MPFI DOHC Hybrid
